objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
demo_001,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,"Example locally hosted image item. Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities; buildings; campuses; picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, Special Collections and Archives, University of Idaho Library",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,image,,/objects/small/demo_001_sm.jpg,/objects/thumbs/demo_001_th.jpg,historic sepia photograph depicting a formal brick and stone building in the College Gothic style,
demo_002,"Spokane County Court House, Spokane, Washington",Spokane Post Card Co.,1912-09-08,"Example locally hosted PDF item. Postcard is of the Spokane County Courthouse in Spokane, Washington. Postmark 9/8/1912, Spokane, WA. Destination San Francisco, CA.",public buildings; county courthouses; trees; picture postcards,"Spokane, Washington",47.66432,-117.428031,"PG 107, Knowles Postcard Collection, Special Collections and Archives, University of Idaho Library",Postcard_032,Image;StillImage,application/pdf,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,,/objects/small/demo_002_sm.jpg,/objects/thumbs/demo_002_th.jpg,historic colorized postcard depicting a formal building with a large central tower in the French Renaissance revival style,
,,,,,,,,,,,,,,,,,,,,,
bdr001,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr001,Image,image/jpg,,,,image,/objects/bdr001.jpeg,/objects/small/bdr001_sm.jpg,/objects/thumbs/bdr001_th.jpg,,
bdr002,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr002,Image,image/jpg,,,,image,/objects/bdr002.jpeg,/objects/small/bdr002_sm.jpg,/objects/thumbs/bdr002_th.jpg,,
bdr003,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr003,Image,image/jpg,,,,image,/objects/bdr003.jpeg,/objects/small/bdr003_sm.jpg,/objects/thumbs/bdr003_th.jpg,,
bdr004,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr004,Image,image/jpg,,,,image,/objects/bdr004.jpeg,/objects/small/bdr004_sm.jpg,/objects/thumbs/bdr004_th.jpg,,
bdr005,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr005,Image,image/jpg,,,,image,/objects/bdr005.jpeg,/objects/small/bdr005_sm.jpg,/objects/thumbs/bdr005_th.jpg,,
bdr006,Travel Caution Sign: Smuggling and Illegal Immigration May Be Encountered in this Area,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr006,Image,image/jpg,,,,image,/objects/bdr006.jpeg,/objects/small/bdr006_sm.jpg,/objects/thumbs/bdr006_th.jpg,,
bdr007,Found detritus on migrant path,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr007,Image,image/jpg,,,,image,/objects/bdr007.jpeg,/objects/small/bdr007_sm.jpg,/objects/thumbs/bdr007_th.jpg,,
bdr008,Robert Crooks Seated with Rifle and Dog,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr008,Image,image/jpg,,,,image,/objects/bdr008.jpeg,/objects/small/bdr008_sm.jpg,/objects/thumbs/bdr008_th.jpg,,
bdr009,Cement Pipe,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr009,Image,image/jpg,,,,image,/objects/bdr009.jpeg,/objects/small/bdr009_sm.jpg,/objects/thumbs/bdr009_th.jpg,,
bdr010,"Composite Image Sequence of ""Armed Subjects Identified by [redacted] off hte I-I Highway Near Freeman""",Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr010,Image,image/jpg,,,,image,/objects/bdr010.jpeg,/objects/small/bdr010_sm.jpg,/objects/thumbs/bdr010_th.jpg,,
bdr011,Mountain Minuteman Leaning Against Sonoran Desert National Monument Sign,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr011,Image,image/jpg,,,,image,/objects/bdr011.jpeg,/objects/small/bdr011_sm.jpg,/objects/thumbs/bdr011_th.jpg,,
bdr012,"""AQU´A"" Water Sign and Bottles and Armed Mountain Minuteman",Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr012,Image,image/jpg,,,,image,/objects/bdr012.jpeg,/objects/small/bdr012_sm.jpg,/objects/thumbs/bdr012_th.jpg,,
bdr013,Patriot Point Monument Sign,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr013,Image,image/jpg,,,,image,/objects/bdr013.jpeg,/objects/small/bdr013_sm.jpg,/objects/thumbs/bdr013_th.jpg,,
bdr014,Painted Border Sign,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr014,Image,image/jpg,,,,image,/objects/bdr014.jpeg,/objects/small/bdr014_sm.jpg,/objects/thumbs/bdr014_th.jpg,,
bdr015,Mountain Minutemen Digital Collage,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr015,Image,image/jpg,,,,image,/objects/bdr015.jpeg,/objects/small/bdr015_sm.jpg,/objects/thumbs/bdr015_th.jpg,,
bdr016,Anti-Immigrant California Rally ,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr016,Image,image/jpg,,,,image,/objects/bdr016.jpeg,/objects/small/bdr016_sm.jpg,/objects/thumbs/bdr016_th.jpg,,
bdr017,Mountain Minutemen Patriot Point Posse Mug,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr017,Image,image/jpg,,,,image,/objects/bdr017.jpeg,/objects/small/bdr017_sm.jpg,/objects/thumbs/bdr017_th.jpg,,
bdr018,Men Spray Painting RV Camoflauge Green,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr018,Image,image/jpg,,,,image,/objects/bdr018.jpeg,/objects/small/bdr018_sm.jpg,/objects/thumbs/bdr018_th.jpg,,
